Id,LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice
3091,60,9000,1Fam,9,6,2,0,7,2006,1947,3,GasA,Y,1208,0,2009,325601.860485528
3092,51,9297,1Fam,7,8,1,0,6,1970,1109,2,GasA,Y,1316,0,2009,186821.9500893
3093,50,11717,1Fam,6,7,2,0,7,1965,882,3,GasA,Y,1214,0,2007,153205.955961734
3094,,12137,1Fam,7,6,1,1,5,1962,1518,4,GasA,N,2090,0,2008,211435.305311806
3095,109,3951,1Fam,8,5,1,1,5,2001,660,3,GasA,N,1812,0,2006,212383.084478208
3096,78,8880,2fmCon,6,5,1,0,6,2000,1728,4,GasA,Y,2138,0,2007,197847.034593568
3097,67,8470,1Fam,8,6,2,0,6,2007,1392,3,GasA,Y,1469,0,2009,245924.333559004
3098,60,9375,1Fam,6,3,2,0,7,1925,1490,2,GasA,Y,1936,0,2009,163898.108664882
3099,65,8012,1Fam,8,8,2,1,7,1971,1099,2,GasA,Y,1284,0,2009,213616.095838975
3100,60,7642,1Fam,5,7,1,1,5,1995,440,3,GasA,Y,1812,0,2006,192871.558955758
3101,70,6960,1Fam,5,6,1,0,6,1945,1604,4,GasA,Y,1073,0,2009,116208.017493146
3102,50,2651,1Fam,5,5,1,1,8,1957,1244,2,GasA,Y,1314,0,2008,124521.441553737
3103,50,14963,1Fam,6,5,2,1,8,1996,855,2,GasA,Y,754,0,2010,135709.062693678
3104,60,15431,2fmCon,5,5,2,0,8,2007,1264,2,GasA,Y,720,0,2006,164087.249930485
3105,44,7227,1Fam,7,5,2,0,7,1936,768,3,GasA,Y,3112,0,2009,189115.172556938
3106,63,9430,1Fam,4,5,2,0,5,1959,880,2,GasA,Y,1048,0,2009,134471.323007152
3107,60,8125,1Fam,6,7,1,1,7,1939,768,3,GasA,Y,1656,0,2006,195791.799326633
3108,60,3182,TwnhsE,5,5,2,1,7,1974,1052,2,GasA,Y,1616,0,2010,142981.961810985
3109,65,8846,2fmCon,8,4,1,0,4,1967,2153,4,GasA,Y,2217,0,2008,287666.416139805
3110,60,11198,1Fam,6,5,1,0,8,1978,968,3,GasA,Y,1039,0,2008,136987.878643336
3111,82,7438,1Fam,7,5,2,1,5,1951,1264,3,GasA,Y,1097,0,2006,157377.151555559
3112,60,9800,1Fam,5,5,2,1,6,1924,686,2,GasA,Y,1908,0,2007,166351.149382665
3113,82,11075,1Fam,5,5,2,0,6,2005,1383,1,GasA,Y,1128,0,2006,164838.356163428
3114,88,6000,1Fam,5,5,2,2,5,1967,0,3,GasA,Y,1269,0,2006,119917.214046811
3115,60,12735,TwnhsE,5,7,1,0,7,1956,1249,3,GasA,Y,1337,0,2008,129703.231518391
3116,70,11694,1Fam,4,5,1,1,7,1958,1752,2,GasA,Y,1577,0,2006,155690.980161111
3117,80,13518,1Fam,4,5,1,1,9,1994,894,3,GasA,Y,752,0,2008,104164.231086906
3118,60,13695,1Fam,5,5,1,0,9,1930,741,3,GasA,Y,1575,0,2007,137099.623094174
3119,,10480,TwnhsE,6,2,1,1,8,1975,551,3,GasA,Y,1512,0,2006,145335.363168563
3120,79,7700,1Fam,5,5,1,1,6,1976,636,3,GasA,Y,1509,0,2010,126047.016867907
3121,80,10000,1Fam,6,6,2,0,6,1957,783,3,GasA,Y,838,0,2009,127116.388324219
3122,80,6000,1Fam,7,5,2,1,5,2000,720,3,GasA,Y,2080,0,2006,192425.928432266
3123,87,3182,1Fam,7,7,2,0,9,1954,540,3,GasA,Y,1262,0,2009,166819.379746814
3124,51,7535,Duplex,10,6,2,0,8,1953,1144,3,GasA,Y,2138,0,2006,248386.003796426
3125,70,10846,1Fam,4,5,1,0,5,1972,1144,2,GasA,Y,987,0,2006,143677.89045462
3126,52,10791,1Fam,5,5,1,0,5,2006,612,3,GasA,Y,2364,0,2008,154628.618254881
3127,65,13568,1Fam,9,5,2,1,12,1916,0,3,GasA,Y,1547,0,2006,272229.286916111
3128,70,12358,TwnhsE,4,8,1,0,5,2005,1069,3,GasA,Y,1664,0,2009,190265.854316506
3129,51,7200,1Fam,6,5,1,0,6,1958,624,3,GasA,Y,1629,0,2007,107117.667223517
3130,77,11029,1Fam,5,5,1,0,7,1994,964,3,GasA,Y,2256,512,2006,213231.946826443
3131,90,8410,2fmCon,6,5,1,0,6,1936,884,1,GasA,Y,1406,0,2007,108039.79300512
3132,,7875,1Fam,3,5,1,0,8,1957,848,2,GasA,Y,1200,0,2007,111985.100701554
3133,50,10140,1Fam,10,5,1,1,6,1965,1430,4,GasA,N,1670,0,2008,221477.776927782
3134,65,6204,1Fam,8,5,2,0,9,1927,855,2,GasA,Y,1306,0,2010,165063.438333647
3135,96,4923,1Fam,5,5,1,0,5,1968,970,3,GasA,Y,784,0,2007,94303.2744893501
3136,50,10159,Duplex,6,7,1,0,7,1964,1926,4,GasA,Y,987,0,2006,127429.382370369
3137,60,10880,1Fam,5,5,1,1,9,1988,0,2,GasA,Y,1775,0,2010,175278.53731291
3138,,25286,1Fam,4,5,2,1,7,2002,1462,3,GasA,Y,1144,0,2008,162487.735667893
3139,63,10480,1Fam,4,5,2,0,8,2006,483,3,GasA,Y,1266,0,2007,149610.038338466
3140,44,6600,1Fam,4,5,1,0,7,1979,686,2,GasA,Y,1572,0,2007,157182.132099599
3141,21,6173,1Fam,7,6,1,1,6,2006,864,2,GasA,Y,1004,0,2009,183621.222823576
3142,58,7875,1Fam,8,6,2,1,4,1940,1029,3,GasA,N,1588,0,2008,209647.336320852
3143,,4671,1Fam,5,7,2,1,6,1898,1029,3,GasA,Y,1750,0,2010,102430.708398718
3144,59,6130,2fmCon,7,5,1,1,6,1963,876,2,GasA,Y,1040,0,2006,127491.824719144
3145,65,4608,1Fam,6,7,2,0,6,2007,926,3,GasA,Y,1958,0,2006,210662.79692691
3146,75,8450,2fmCon,5,5,1,0,5,1977,982,2,GasA,Y,1468,0,2009,161093.060840668
3147,,10200,Duplex,5,5,1,0,7,1971,1144,4,GasA,Y,1484,0,2009,119055.257638014
3148,,8536,1Fam,2,6,2,0,6,1924,1372,3,GasA,Y,1479,0,2007,155170.1512034
3149,64,13500,1Fam,5,6,1,0,7,2005,858,3,GasA,Y,864,0,2006,149105.933937896
3150,40,13695,1Fam,5,6,2,0,6,2005,1273,6,GasA,N,1370,0,2006,169578.985317602
3151,110,4282,1Fam,5,5,2,1,4,1922,860,3,GasA,Y,1756,0,2009,136773.379663555
3152,75,7420,1Fam,6,6,1,2,5,2003,732,3,GasA,Y,1561,0,2009,196961.595633173
3153,,4928,1Fam,8,5,2,1,4,1954,860,3,GasA,Y,1752,0,2006,180792.092387373
3154,66,5687,1Fam,6,5,2,1,6,1924,1670,4,GasA,Y,1486,0,2007,152040.915698867
3155,,11500,1Fam,9,5,3,0,5,1979,780,2,GasA,Y,1092,0,2009,221751.271366329
3156,60,12090,1Fam,8,7,1,1,5,1927,794,2,GasA,Y,1434,0,2007,176763.209740249
3157,107,10437,1Fam,6,5,2,0,14,1918,1056,4,GasA,N,1108,0,2006,106411.664306112
3158,57,10237,1Fam,4,5,1,1,4,1931,1099,3,GasA,Y,1505,0,2008,143457.568246831
3159,81,6780,Duplex,9,6,1,0,12,2006,1099,3,GasA,Y,1327,0,2007,240709.092025201
3160,56,13651,1Fam,6,5,1,0,10,1999,1370,4,GasA,Y,1396,0,2007,124016.545528056
3161,94,4043,1Fam,6,5,1,1,5,1999,735,4,GasA,Y,2054,0,2009,142717.115064799
3162,88,8536,1Fam,6,5,1,1,5,1997,1200,3,GasA,Y,1442,0,2009,172612.305859903
3163,,7931,1Fam,8,5,2,1,5,2003,1052,3,GasA,Y,1733,0,2008,222459.757192797
3164,48,2001,1Fam,9,5,2,0,5,1967,1581,3,GasA,Y,1196,0,2010,206588.758067532
3165,51,5062,1Fam,5,5,2,0,5,1998,967,2,GasA,Y,2414,0,2007,199456.209467023
3166,52,7200,TwnhsE,9,5,2,1,5,1988,1214,3,GasA,Y,1241,0,2009,226384.308698067
3167,80,25095,1Fam,8,5,2,1,8,2004,1593,2,GasA,Y,1601,0,2008,275099.873726624
3168,,11841,1Fam,4,5,2,1,8,2008,0,3,GasA,Y,988,0,2008,129703.536845459
3169,85,8470,1Fam,7,5,2,0,8,1934,868,3,GasA,Y,923,0,2007,147950.632096649
3170,70,11394,1Fam,5,4,2,1,5,1965,1575,2,GasA,Y,1739,0,2008,138866.763099998
3171,60,10625,1Fam,5,6,1,1,7,1977,1232,4,GasA,Y,1442,0,2007,175943.889882268
3172,70,11777,1Fam,5,5,2,0,5,1996,1700,3,GasA,Y,2062,0,2009,210057.264147067
3173,50,9900,Twnhs,8,4,1,0,7,1918,600,3,GasA,Y,1092,0,2008,135536.854382481
3174,51,31770,1Fam,7,7,2,1,9,2004,728,4,GasA,Y,1820,0,2010,216526.411219707
3175,,10625,1Fam,7,5,1,0,7,2004,1080,4,GasA,Y,924,0,2007,160212.378155168
3176,80,13265,1Fam,7,7,2,0,6,1985,798,1,GasA,Y,1229,0,2009,204972.406172456
3177,79,7879,Duplex,5,6,1,0,6,1968,728,3,GasA,Y,2060,0,2008,169145.894094326
3178,80,12224,1Fam,7,5,0,0,12,1999,612,3,GasA,Y,1242,0,2010,205995.097640454
3179,,8846,2fmCon,7,6,2,0,6,2005,816,3,GasA,Y,1212,0,2006,166054.612964105
3180,35,21384,Twnhs,6,8,1,1,5,1978,728,6,GasA,Y,1664,0,2008,145680.323044379
3181,83,5684,1Fam,6,5,1,0,8,1972,1670,2,GasA,Y,904,0,2006,152438.339264767
3182,51,9590,1Fam,8,5,2,1,8,1995,858,3,GasA,Y,1614,0,2009,222364.293941126
3183,,4438,1Fam,4,5,1,0,7,2003,1926,3,GasA,Y,1337,0,2007,163709.824085664
3184,60,7800,1Fam,6,5,2,0,7,1959,960,2,GasA,Y,1310,0,2008,128409.684843323
3185,49,8480,Duplex,6,5,1,0,5,1880,1392,4,GasA,Y,1296,0,2007,105388.872334068
3186,74,9120,1Fam,5,5,2,0,7,2000,612,2,GasA,Y,1566,0,2010,183801.134650752
3187,79,5000,1Fam,7,5,1,0,6,2004,1126,3,GasA,Y,1100,0,2010,185152.955335317
3188,,9000,1Fam,6,5,2,1,7,1932,672,3,GasA,Y,2452,0,2007,167878.823341907
3189,48,11645,1Fam,7,5,2,0,7,1976,756,3,GasA,N,1560,0,2009,191449.327925126
3190,73,15750,1Fam,6,5,1,0,6,1984,1650,4,GasA,N,1004,0,2006,213623.166023775
3191,72,6911,TwnhsE,5,5,1,0,5,2006,1199,2,GasA,Y,1797,0,2006,180463.553722825
3192,60,2448,1Fam,4,4,0,1,7,1970,736,2,GasA,Y,1691,0,2008,136274.009256214
3193,85,12378,1Fam,5,5,1,0,7,1982,832,4,GasA,Y,2263,0,2008,168898.35395755
3194,104,13000,1Fam,7,8,1,1,6,2004,1028,3,GasA,Y,1836,0,2010,214635.198628789
3195,,8281,1Fam,5,5,1,1,7,1976,991,3,GasA,Y,2229,0,2008,167929.836718123
3196,21,21780,1Fam,7,6,2,1,6,1999,894,2,GasA,Y,1200,0,2008,161623.674467032
3197,65,7200,1Fam,3,8,2,0,7,1971,1947,2,GasA,Y,2240,0,2008,183671.537941382
3198,24,8973,1Fam,1,8,1,0,9,1992,1092,3,GasA,Y,1557,0,2009,158295.115244154
3199,67,9187,1Fam,6,6,1,0,8,1957,1468,4,GasA,Y,816,0,2007,136269.25823596
3200,55,6270,1Fam,6,5,1,0,5,1967,1947,4,GasA,Y,1541,0,2010,148619.3294358
3201,75,4130,1Fam,9,6,2,0,6,2007,1698,3,GasA,Y,1828,0,2009,338434.792704073
3202,121,6324,1Fam,6,5,1,1,9,1973,440,2,GasA,Y,1392,0,2007,125196.178154702
3203,59,7892,1Fam,7,6,2,0,5,2003,1416,3,GasA,Y,1376,0,2008,185419.385730068
3204,60,10800,1Fam,5,5,1,0,7,2005,716,2,GasA,N,616,0,2008,127032.12663184
3205,67,17104,1Fam,6,7,2,0,7,1959,864,3,GasA,Y,1689,0,2006,152775.073891691
3206,68,5720,1Fam,4,5,2,0,6,1925,1383,2,GasA,Y,1378,0,2010,114531.191375845
3207,70,4500,1Fam,6,9,1,0,9,2005,768,2,GasA,Y,1328,0,2008,171668.146733029
3208,50,10463,1Fam,8,7,1,0,7,1961,1264,4,GasA,Y,1217,0,2009,178324.517376401
3209,118,8740,1Fam,7,5,1,1,9,2000,1003,2,GasA,Y,1178,0,2007,145894.412969792
3210,78,5720,1Fam,8,4,2,1,8,1910,1277,2,GasA,Y,2097,0,2008,235524.510507733
3211,68,13695,1Fam,7,5,1,0,5,2004,861,4,GasA,Y,1644,0,2008,186085.388209525
3212,72,10542,1Fam,5,5,1,1,6,1972,1125,3,GasA,Y,796,0,2008,125482.107190761
3213,137,8816,Twnhs,7,5,3,1,7,2007,1370,3,GasA,Y,899,0,2008,199663.410826291
3214,84,13286,1Fam,6,5,2,1,4,1978,0,6,GasA,N,1869,0,2006,173846.048384038
3215,98,34650,Twnhs,5,5,2,0,6,2003,672,4,GasA,Y,1336,0,2008,160649.416625651
3216,75,9000,1Fam,9,5,2,0,9,2003,1800,3,GasA,Y,1414,0,2007,277635.661642096
3217,,9873,1Fam,6,8,1,0,6,2005,105,3,GasA,Y,480,0,2009,119394.270038371
3218,50,11070,1Fam,7,6,3,1,5,1910,893,4,GasA,N,1118,0,2008,149831.793799355
3219,51,3182,1Fam,7,5,1,1,5,1957,880,3,GasA,Y,864,0,2006,140596.748867798
3220,,7590,1Fam,7,5,1,1,8,1959,1428,4,GasA,Y,1852,0,2008,215563.684005603
3221,,6820,Duplex,3,6,2,1,11,2003,1164,4,GasA,Y,334,0,2007,102641.205252911
3222,,1869,1Fam,6,8,1,0,8,1986,993,3,GasA,Y,3395,0,2006,230840.834514088
3223,24,7056,1Fam,7,5,2,1,5,1935,2136,3,GasA,Y,1092,0,2008,165847.209768199
3224,80,9600,1Fam,8,5,1,1,4,1931,864,3,GasA,N,1829,0,2009,157112.678590417
3225,85,7875,Duplex,6,5,1,1,9,2004,1869,2,GasA,Y,1800,0,2010,200689.857529813
3226,,7931,1Fam,3,5,2,0,6,2008,0,3,GasA,Y,1236,0,2007,111710.321765202
3227,43,7588,TwnhsE,6,8,1,0,6,1955,1056,3,GasA,Y,2082,0,2008,161379.250648336
3228,,11841,1Fam,7,7,2,1,6,1925,600,3,GasA,Y,899,0,2010,154863.085148664
3229,69,6911,TwnhsE,6,6,2,0,4,2004,1560,4,GasA,Y,1387,0,2007,189825.157264462
3230,60,8405,TwnhsE,6,5,2,0,7,1994,795,3,GasA,N,1792,0,2009,206284.797076786
3231,,4274,1Fam,6,5,2,1,8,1977,784,2,GasA,Y,1728,0,2006,145900.460627047
3232,24,9144,1Fam,4,5,2,1,5,2002,1394,2,GasA,Y,1430,0,2010,170709.474220658
3233,35,10140,1Fam,7,6,1,0,6,1974,936,3,GasA,Y,1512,0,2008,150525.053559623
3234,74,13682,TwnhsE,7,7,2,0,6,1988,1629,3,GasA,Y,1416,0,2006,234465.600548392
3235,,6979,1Fam,7,5,2,1,8,1992,0,4,GasA,Y,2243,0,2006,201171.58924746
3236,70,9591,1Fam,6,5,2,0,5,1954,728,3,GasA,N,1116,0,2009,104013.388706959
3237,65,34650,1Fam,7,9,1,0,9,1926,729,3,GasA,Y,1344,0,2009,167773.741851046
3238,100,3072,1Fam,4,8,1,0,5,1977,770,2,GasA,Y,1215,0,2008,124916.114089542
3239,60,10637,1Fam,5,5,2,0,9,1953,1241,3,GasA,N,1028,0,2007,126243.279893135
3240,67,11316,1Fam,7,5,1,0,4,1962,1064,3,GasA,Y,2945,0,2006,222714.128751419
3241,80,7851,1Fam,7,5,1,0,6,1979,1079,4,GasA,Y,1776,0,2007,189844.266028708
3242,80,1300,TwnhsE,6,6,1,1,7,1947,991,1,GasA,Y,1140,0,2009,77784.4854204371
3243,,7207,1Fam,6,5,1,1,5,2006,1419,3,GasA,Y,2320,0,2010,217356.092714979
3244,43,25419,1Fam,6,5,2,1,5,1978,729,2,GasA,Y,1432,0,2009,163482.766349255
3245,110,9855,1Fam,4,5,2,1,8,1958,894,2,GasA,Y,1993,0,2006,129807.011457916
3246,80,7937,TwnhsE,9,5,1,1,3,1962,576,2,GasA,Y,938,0,2006,203667.882986251
3247,,9350,1Fam,5,5,2,0,8,2005,927,1,GasA,Y,1285,0,2010,171103.408594325
3248,63,9600,1Fam,2,3,2,0,10,1920,1144,4,GasA,Y,1440,0,2010,76644.9118184288
3249,78,7050,Duplex,6,5,1,0,9,1959,938,3,GasA,Y,1493,0,2008,84744.7166411638
3250,,12244,TwnhsE,5,5,1,0,6,1994,1029,3,GasA,Y,848,0,2009,128236.32591849
3251,52,7018,1Fam,8,9,1,0,8,1996,2046,3,GasA,Y,2728,0,2009,346320.576588678
3252,,10500,1Fam,6,4,2,0,6,2003,732,3,GasA,Y,1732,0,2007,139148.685396451
3253,50,10480,1Fam,7,5,1,0,7,2005,1566,2,GasA,Y,928,0,2009,215217.953548412
3254,96,10667,Twnhs,7,5,2,0,7,1958,864,3,GasA,Y,1982,0,2009,161208.742751343
3255,61,4456,1Fam,6,5,1,0,7,1984,1134,3,GasA,Y,1048,0,2008,116423.351493281
3256,,10240,1Fam,10,5,1,0,6,1941,1800,3,GasA,Y,1500,0,2007,214079.929129462
3257,70,10839,1Fam,7,5,1,0,7,1916,680,4,GasA,Y,1786,0,2008,126438.089276022
3258,,3196,1Fam,3,6,2,1,8,1954,784,3,GasA,Y,999,0,2006,72072.5569898653
3259,,19138,1Fam,6,6,2,1,5,2006,728,3,GasA,N,778,0,2009,119442.567701393
3260,77,7200,TwnhsE,6,5,1,0,4,1954,864,3,GasA,Y,2610,0,2009,177892.056039111
3261,47,8791,Twnhs,6,6,2,1,7,2005,1040,3,GasA,Y,858,0,2009,174910.70445334
3262,70,2572,1Fam,5,5,2,0,4,1952,1281,3,GasA,Y,1768,0,2009,181958.274166027
3263,69,3182,1Fam,10,5,1,0,7,2007,630,4,GasA,Y,1944,0,2008,251228.63822614
3264,,9525,1Fam,5,3,1,1,4,1947,1212,2,GasA,Y,969,0,2009,77749.7558244946
3265,51,9200,1Fam,6,6,2,0,5,1972,848,2,GasA,Y,914,0,2008,130950.672927678
3266,60,9320,1Fam,7,8,1,1,7,1962,848,2,GasA,Y,964,0,2006,173264.716656109
3267,90,13159,1Fam,6,6,1,0,3,1953,1090,2,GasA,Y,1429,0,2007,163933.337688982
3268,,8163,Duplex,8,7,1,0,5,2000,1097,2,GasA,Y,1563,0,2009,218486.389775815
3269,60,8737,1Fam,5,5,2,0,6,1910,1494,2,GasA,Y,2468,0,2010,192369.152881121
3270,,10237,1Fam,7,5,2,1,8,1966,658,3,GasA,N,2243,0,2006,151136.408991677
3271,59,10800,1Fam,8,5,2,1,8,2008,1196,2,GasA,Y,1053,0,2007,201831.294428306
3272,74,5100,1Fam,8,6,2,0,10,1918,689,3,GasA,Y,1208,0,2009,177494.076434607
3273,59,10628,1Fam,7,4,2,1,7,1915,768,3,GasA,Y,1214,0,2010,119756.78120704
3274,24,16285,1Fam,7,5,2,0,4,2000,1010,4,GasA,Y,1844,0,2007,210347.312803956
3275,21,11316,1Fam,6,7,2,1,5,1920,1040,2,GasA,Y,1768,0,2008,173712.121825333
3276,,7931,Twnhs,6,5,1,0,5,2004,0,3,GasA,Y,1710,0,2009,118131.91136032
3277,21,10206,TwnhsE,5,5,2,1,5,2004,765,3,GasA,Y,1661,0,2010,109671.994749199
3278,100,1890,TwnhsE,4,5,1,1,7,2005,1092,2,GasA,Y,1040,0,2008,131336.496110676
3279,73,13159,1Fam,6,6,1,0,6,1916,561,2,GasA,Y,2614,0,2009,156899.4772709
3280,73,9303,Duplex,6,7,2,1,7,1948,1040,3,GasA,Y,1112,0,2009,143539.474695032
3281,,10634,1Fam,5,5,1,0,7,1926,1194,3,GasA,Y,1919,0,2010,137129.539954842
3282,,11029,1Fam,8,5,1,0,11,2005,528,4,GasA,Y,1501,0,2009,193695.30632739
3283,74,10880,TwnhsE,6,7,2,0,6,1968,969,2,GasA,Y,2132,0,2010,182328.005327552
3284,116,12384,Twnhs,5,5,2,1,6,1969,816,3,GasA,Y,912,0,2009,133176.253325635
3285,24,9790,1Fam,5,7,2,1,8,1988,1559,5,GasA,Y,2198,0,2010,177236.767638767
3286,65,17920,1Fam,6,3,1,0,9,1966,1777,1,GasA,Y,1342,0,2006,151686.579794729
3287,,9742,1Fam,6,7,2,1,8,2003,819,3,GasA,Y,1004,0,2006,185939.555563334
3288,72,10410,1Fam,5,5,1,0,8,1961,720,3,GasA,Y,1701,0,2009,102412.569362561
3289,77,14200,Twnhs,6,5,1,0,6,1982,0,3,GasA,Y,2462,0,2007,159007.458006883
3290,59,10240,Duplex,6,5,1,0,7,1927,1020,3,GasA,Y,2287,0,2008,143328.378245529
3291,80,8123,1Fam,5,8,1,1,5,1962,980,3,GasA,Y,1368,0,2008,138068.955972371
3292,56,3182,1Fam,8,5,1,0,7,2000,780,3,GasA,Y,3112,0,2008,293787.708739998
3293,,18450,1Fam,6,6,3,1,5,1997,1626,2,GasA,Y,2452,0,2010,240193.607178589
3294,48,4224,1Fam,7,5,1,1,6,1914,1040,2,GasA,Y,864,0,2006,129502.692118536
3295,50,11249,1Fam,5,5,2,0,6,2001,747,2,GasA,Y,1501,0,2010,163237.195168709
3296,40,9819,1Fam,3,8,1,1,8,1900,868,3,GasA,Y,2344,0,2008,198931.838536498
3297,72,10140,1Fam,8,5,1,0,4,2004,608,3,GasA,Y,2183,0,2009,271677.84428585
3298,,12182,1Fam,5,5,1,0,7,2004,948,3,GasA,Y,1268,0,2010,119628.788819272
3299,,9600,1Fam,6,5,2,1,5,1976,644,3,GasA,Y,980,0,2009,124108.035573959
3300,85,13159,1Fam,5,5,2,0,4,1956,1626,3,GasA,Y,901,0,2006,160915.424421027
3301,65,34650,1Fam,5,7,2,0,5,2001,1430,2,GasA,Y,1363,0,2007,175930.822415799
3302,21,8532,1Fam,5,5,2,0,6,1975,910,3,GasA,Y,1489,0,2009,148421.105874177
3303,86,10650,1Fam,5,5,1,1,5,1936,1214,2,GasA,Y,1228,0,2009,149164.914852541
3304,66,10659,1Fam,8,5,2,0,11,1963,1833,4,GasA,Y,1040,0,2008,250139.922508805
3305,74,11888,1Fam,8,5,2,0,7,1995,1417,2,GasA,Y,1072,0,2010,268635.730574493
3306,85,10171,1Fam,10,5,1,1,7,2005,925,3,GasA,Y,1228,0,2007,237674.156436741
3307,80,16647,1Fam,7,6,1,1,6,2002,1122,3,GasA,Y,2192,0,2010,203243.70749031
3308,78,25095,1Fam,6,5,2,0,8,1976,832,3,GasA,Y,1040,0,2009,159977.334633744
3309,,7018,1Fam,8,5,2,0,7,1999,1632,3,GasA,Y,1056,0,2006,201153.606111573
3310,,8125,1Fam,8,5,1,0,5,1979,855,6,GasA,Y,1734,0,2009,221304.335093353
3311,44,16321,1Fam,5,5,1,0,7,2004,735,4,GasA,Y,1060,0,2006,156176.141861474
3312,,25419,1Fam,5,7,1,0,8,1956,1604,3,GasA,Y,1414,0,2010,133527.630272433
3313,75,12464,1Fam,6,5,2,0,9,1945,1175,4,GasA,Y,1501,0,2007,155426.292813425
3314,76,13006,1Fam,5,5,2,1,6,2003,2217,3,GasA,Y,2392,0,2006,236305.654524559
3315,64,6563,1Fam,7,5,2,0,5,1999,864,8,GasA,Y,1392,0,2009,183801.031960056
3316,,13651,1Fam,6,7,1,0,8,1960,1848,2,GasA,Y,1073,0,2010,185021.222333605
3317,,9317,1Fam,6,5,2,0,4,1976,1650,3,GasA,Y,1479,0,2009,199263.453164622
3318,73,53107,1Fam,5,3,2,1,6,1964,1040,3,GasA,Y,1406,0,2008,168877.203501395
3319,,7875,1Fam,4,3,2,0,6,1957,1004,3,GasA,Y,1776,0,2007,134064.900371795
3320,,8530,1Fam,7,4,2,1,7,1991,1059,1,GasA,Y,1487,0,2009,195169.72026068
3321,60,9150,Twnhs,8,6,2,0,6,1910,980,3,GasA,Y,1134,0,2006,179451.995852615
3322,73,16059,1Fam,3,5,1,0,12,2005,480,4,GasA,Y,1363,0,2009,134156.582486612
3323,24,7630,1Fam,6,7,2,0,5,1968,783,2,GasA,Y,1824,0,2008,152209.575704718
3324,,7390,1Fam,6,7,1,0,5,2005,1226,3,GasA,Y,1710,0,2008,182468.785685145
3325,47,6173,1Fam,7,6,2,0,10,2006,1151,4,GasA,Y,816,0,2007,169999.130966451
3326,85,6204,Duplex,5,6,1,1,7,1955,483,2,GasA,Y,1786,0,2008,113197.081316436
3327,50,12090,1Fam,7,5,2,1,10,1947,440,2,GasA,Y,767,0,2009,143069.446856799
3328,65,11787,1Fam,4,4,2,0,4,2004,1026,2,GasA,Y,825,0,2008,79308.2231616379
3329,75,2001,1Fam,6,5,2,1,5,1928,1056,3,GasA,Y,1266,0,2008,143767.14807831
3330,102,4282,1Fam,6,5,1,0,5,2010,900,3,GasA,Y,1040,0,2009,147585.238684753
3331,,10500,1Fam,7,5,2,0,6,2009,440,3,GasA,Y,858,0,2007,146545.021826332
3332,77,11616,1Fam,7,5,1,0,7,1958,755,3,GasA,Y,1573,0,2007,175609.777300021
3333,92,8712,1Fam,5,5,2,0,7,2004,1440,4,GasA,Y,1684,0,2010,162322.896643621
3334,55,14260,1Fam,6,5,1,0,6,2004,0,3,GasA,Y,1586,0,2007,152122.210567897
3335,71,8197,1Fam,9,7,1,0,7,2002,884,3,GasA,Y,1588,0,2006,282154.149098841
3336,79,10440,1Fam,6,8,2,0,6,1954,547,4,GasA,Y,1505,0,2006,152614.631880435
3337,81,9150,2fmCon,6,5,2,0,6,1920,939,2,GasA,Y,1494,0,2010,181177.405257826
3338,40,9588,1Fam,7,6,1,0,5,2004,975,3,GasA,Y,1795,0,2009,217459.119838568
3339,60,8712,1Fam,2,5,1,1,6,2005,1392,3,GasA,N,2520,0,2006,200971.013105258
3340,85,10000,1Fam,8,8,1,1,5,1995,817,3,GasA,Y,1144,0,2007,190404.534496659
3341,48,13651,1Fam,5,4,2,0,8,1915,1616,2,GasA,Y,1796,0,2009,149084.646511955
3342,94,12137,1Fam,8,5,2,1,6,2006,804,4,GasA,Y,2727,0,2010,265065.871047768
3343,79,16059,1Fam,5,5,1,0,5,1934,923,4,GasA,Y,1520,0,2009,103331.623004365
3344,71,7050,1Fam,6,5,1,0,7,1956,1344,4,GasA,Y,1137,0,2006,142474.324940281
3345,53,10800,2fmCon,8,5,1,0,5,1948,1266,3,GasA,Y,1097,0,2006,156377.142101025
3346,59,11184,1Fam,8,4,2,0,6,1916,780,2,GasA,Y,1590,0,2009,191357.927681692
3347,21,4608,1Fam,6,4,2,0,7,1987,551,3,GasA,Y,1229,0,2007,149155.584711842
3348,70,8471,1Fam,4,5,1,1,14,1930,1109,3,GasA,Y,1839,0,2007,159530.098467919
3349,88,9337,1Fam,7,7,1,0,8,1951,1004,2,GasA,Y,1370,0,2006,190773.415154625
3350,,8658,1Fam,5,7,2,1,7,1988,1416,2,GasA,Y,1541,0,2008,148232.353892625
3351,78,21695,1Fam,5,5,2,1,7,1980,1777,3,GasA,Y,854,0,2009,171318.113073591
3352,,5000,TwnhsE,5,5,2,0,5,1984,1176,3,GasA,Y,2200,0,2008,191730.224755261
3353,60,8892,1Fam,8,7,1,0,6,2004,616,3,GasA,Y,3608,0,2010,319839.931238086
3354,,10005,1Fam,5,7,2,0,6,1987,1232,3,GasA,Y,928,0,2007,168298.860326133
3355,,9760,1Fam,6,5,1,1,5,1954,864,3,GasA,Y,2142,0,2006,164377.257144992
